,Date,Viewing Time,tavg,prec,temp cat
0,2020-08-29,22,69.98,0.0,High
1,2020-08-30,22,66.2,0.0,High
2,2020-08-31,22,65.66,0.0,High
3,2020-09-01,21,66.38,0.0,High
4,2020-09-02,30,74.12,0.0,High
5,2020-09-03,21,73.22,0.0,High
6,2020-09-04,21,74.84,0.0,High
7,2020-09-05,21,76.28,0.0,High
8,2020-09-06,21,73.94,0.0,High
9,2020-09-07,91,71.78,0.0,High
10,2020-09-08,0,56.120000000000005,0.0,Low
11,2020-09-09,21,61.34,0.0,High
12,2020-09-10,21,67.82,0.0,High
13,2020-09-11,21,69.62,0.0,High
14,2020-09-12,0,68.18,0.0,High
15,2020-09-13,21,60.8,0.0,High
16,2020-09-14,21,61.16,0.0,High
17,2020-09-15,21,62.06,0.0,High
18,2020-09-16,21,65.48,0.0,High
19,2020-09-17,42,63.68000000000001,0.0,High
20,2020-09-18,42,61.88,0.0,High
21,2020-09-19,42,62.42,0.0,High
22,2020-09-20,42,59.900000000000006,0.0,Low
23,2020-09-21,28,60.08,0.0,Low
24,2020-09-22,28,63.5,0.0,High
25,2020-09-23,21,63.5,1.0,High
26,2020-09-24,21,60.620000000000005,1.0,Low
27,2020-09-25,21,53.06,1.0,Low
28,2020-09-26,21,51.980000000000004,0.0,Low
29,2020-09-27,21,51.8,0.0,Low
30,2020-09-28,21,54.86,0.0,Low
31,2020-09-29,94,59.18,0.0,Low
32,2020-09-30,0,63.14,0.0,High
33,2020-10-01,0,62.24,0.0,High
34,2020-10-02,0,63.68000000000001,0.0,High
35,2020-10-03,0,62.96,0.0,High
36,2020-10-04,0,61.519999999999996,0.0,High
37,2020-10-05,0,61.34,0.0,High
38,2020-10-06,0,63.14,0.0,High
39,2020-10-07,0,64.94,0.0,High
40,2020-10-08,21,61.519999999999996,0.0,High
41,2020-10-09,21,60.620000000000005,0.0,Low
42,2020-10-10,21,58.1,1.0,Low
43,2020-10-11,21,46.94,1.0,Low
44,2020-10-12,0,50.540000000000006,0.0,Low
45,2020-10-13,0,48.2,1.0,Low
46,2020-10-14,22,47.120000000000005,0.0,Low
47,2020-10-15,0,42.980000000000004,0.0,Low
48,2020-10-16,22,49.1,0.0,Low
49,2020-10-17,22,53.42,0.0,Low
50,2020-10-18,22,46.94,1.0,Low
51,2020-10-19,0,48.74,0.0,Low
52,2020-10-20,21,45.32,0.0,Low
53,2020-10-21,50,40.82,0.0,Low
54,2020-10-22,0,36.14,0.0,Low
55,2020-10-23,21,31.46,1.0,Low
56,2020-10-24,0,29.48,1.0,Low
57,2020-10-25,22,21.38,1.0,Low
58,2020-10-26,22,21.02,1.0,Low
59,2020-10-27,83,27.68,1.0,Low
60,2020-10-28,0,37.58,1.0,Low
61,2020-10-29,0,44.78,0.0,Low
62,2020-10-30,22,48.019999999999996,0.0,Low
